rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
33,team-rcy,Team RCY,nuplan,1062.8874371111024,Policy Capability Score,zoib,0.2347931940967279,Average Distance Between At-Fault Incidents,0.2347931940967279,avg_dist_between_incidents_at_fault,3.655164455423277,Distance to GT Trajectory,1062.8874371111024,1062.8874371111024,rcy-nu-1,ab27a264-babc-4ab2-97f5-948a3ec0c6a4,SUCCEEDED,,direct-p5,2026-07-28T04:51:20+00:00
34,opendrivelab-org,OpenDriveLab-Org,nuplan,1052.8356393041108,Policy Capability Score,zoib,3.4648632340787824,Average Distance Between At-Fault Incidents,3.4648632340787824,avg_dist_between_incidents_at_fault,1.2455303400169522,Distance to GT Trajectory,1052.8356393041108,1052.8356393041108,simscale-gtrs-dense-resnet-expert-v2,233ed341-707a-45c3-a8d4-9d9e7c09e6d7,SUCCEEDED,,direct-p5,2026-08-02T17:20:19+00:00
35,vf-team,VF-Team,nuplan,1039.434932366938,Policy Capability Score,zoib,3.854485874507472,Average Distance Between At-Fault Incidents,3.854485874507472,avg_dist_between_incidents_at_fault,0.7479344087647967,Distance to GT Trajectory,1039.434932366938,1039.434932366938,v1,c61be70f-d974-458c-8a56-85e1e942f220,SUCCEEDED,,direct-p5,2026-08-04T16:53:53+00:00
36,opendrivelab-org,OpenDriveLab-Org,nuplan,1041.014871757056,Policy Capability Score,zoib,2.7918667698526902,Average Distance Between At-Fault Incidents,2.7918667698526902,avg_dist_between_incidents_at_fault,1.0712292197729156,Distance to GT Trajectory,1041.014871757056,1041.014871757056,simscale-gtrs-dense-vov-reward-v2,1fe1d592-e844-476c-a6f2-b25c98e5e770,SUCCEEDED,,direct-p5,2026-08-02T16:37:19+00:00
37,opendrivelab-org,OpenDriveLab-Org,nuplan,1022.5953490625488,Policy Capability Score,zoib,3.1681970046624257,Average Distance Between At-Fault Incidents,3.1681970046624257,avg_dist_between_incidents_at_fault,0.8108323772150169,Distance to GT Trajectory,1022.5953490625488,1022.5953490625488,simscale-gtrs-dense-resnet-reward-v3,94a05553-cb56-4136-8c1b-4d28072cca4e,SUCCEEDED,,direct-p5,2026-08-04T07:12:21+00:00
38,opendrivelab-org,OpenDriveLab-Org,nuplan,1009.6343434149125,Policy Capability Score,zoib,4.516231573005259,Average Distance Between At-Fault Incidents,4.516231573005259,avg_dist_between_incidents_at_fault,0.9763723462452666,Distance to GT Trajectory,1009.6343434149125,1009.6343434149125,simscale-gtrs-dense-resnet-expert-v3,9bf9b75f-5933-404f-a733-29fa81795d8b,SUCCEEDED,,direct-p5,2026-08-04T08:53:20+00:00
39,opendrivelab-org,OpenDriveLab-Org,nuplan,1010.0213574965395,Policy Capability Score,zoib,1.660650727614957,Average Distance Between At-Fault Incidents,1.660650727614957,avg_dist_between_incidents_at_fault,0.9500503522386587,Distance to GT Trajectory,1010.0213574965395,1010.0213574965395,simscale-ltf-v1-fixed,50926d5e-521a-4b56-ba3d-17548d1f58f2,SUCCEEDED,,direct-p5,2026-07-30T06:19:18+00:00
40,opendrivelab-org,OpenDriveLab-Org,nuplan,1005.9688301195562,Policy Capability Score,zoib,1.94164954366219,Average Distance Between At-Fault Incidents,1.94164954366219,avg_dist_between_incidents_at_fault,1.0565511440020237,Distance to GT Trajectory,1005.9688301195562,1005.9688301195562,simscale-gtrs-dense-vov-expert-v2,5364748c-8b8e-4cd7-baf5-37dc919ebe00,SUCCEEDED,,direct-p5,2026-08-02T18:03:50+00:00
41,opendrivelab-org,OpenDriveLab-Org,nuplan,990.1583572990663,Policy Capability Score,zoib,1.4264044022542925,Average Distance Between At-Fault Incidents,1.4264044022542925,avg_dist_between_incidents_at_fault,0.8933074168721227,Distance to GT Trajectory,990.1583572990663,990.1583572990663,simscale-diffusiondrive-v2,2023ee9b-759b-444a-b71b-c31743d369e0,SUCCEEDED,,direct-p5,2026-08-02T15:10:49+00:00
42,zgca-team,ZGCA-TEAM,nuplan,1000.0176514614733,Policy Capability Score,zoib,0.2783528711220848,Average Distance Between At-Fault Incidents,0.2783528711220848,avg_dist_between_incidents_at_fault,2.4724735582844573,Distance to GT Trajectory,1000.0176514614733,1000.0176514614733,starter-baseline-20260813,c487ed70-912b-4a69-b017-aa48ddcbed18,SUCCEEDED,,direct-p5,2026-08-13T12:29:50+00:00
43,team-aimm-alpha,Team AIMM alpha,nuplan,999.8996841261173,Policy Capability Score,zoib,0.2783528711220848,Average Distance Between At-Fault Incidents,0.2783528711220848,avg_dist_between_incidents_at_fault,2.472473558284457,Distance to GT Trajectory,999.8996841261173,999.8996841261173,smoke-20260728-1,368eb024-38f9-4ea4-8cdc-43391f93484b,SUCCEEDED,,direct-p5,2026-07-28T15:50:21+00:00
44,host,Host,nuplan,1000,Policy Capability Score,zoib,0.27835287112208473,Average Distance Between At-Fault Incidents,0.27835287112208473,avg_dist_between_incidents_at_fault,2.4724735582844564,Distance to GT Trajectory,1000,1000,go_straight,af07406f-3533-44d2-ae8e-ac444b5e446c,SUCCEEDED,,direct-p5,2026-06-16T03:33:49+00:00
45,zgca-team,ZGCA-TEAM,nuplan,957.6187074142906,Policy Capability Score,zoib,0.7681876869025503,Average Distance Between At-Fault Incidents,0.7681876869025503,avg_dist_between_incidents_at_fault,0.8428062288272524,Distance to GT Trajectory,957.6187074142906,957.6187074142906,recogdrive-8b-20260819-v1,71f180ef-ab36-4335-98d5-e840e9316ea2,SUCCEEDED,,direct-p5,2026-08-20T11:59:57+00:00
